ativo,data,preco,valor,dividendo
alzr,2018-01-31,100.9,95.47,0.35
alzr,2018-02-28,101.91,95.45,0.78
alzr,2018-03-31,103.5,95.39,0.52
alzr,2018-04-30,101.5,95.38,0.64
alzr,2018-05-31,96.6,95.38,0.64
alzr,2018-06-30,93.2,97.4,0.64
alzr,2018-07-31,94,97.39,0.64
alzr,2018-08-31,92.77,97.4,0.64
alzr,2018-09-30,89.81,97.4,0.65
alzr,2018-10-31,91.74,97.39,0.65
alzr,2018-11-30,94.9,97.4,0.65
alzr,2018-12-31,97.8,97.4,0.66
alzr,2019-01-31,98,97.39,0.55
alzr,2019-02-28,98.1,97.39,0.66
alzr,2019-03-31,97.54,97.34,0.66
alzr,2019-04-30,96.99,97.33,0.66
alzr,2019-05-31,103.3,93.29,0.66
alzr,2019-06-30,104.21,94.65,0.44
alzr,2019-07-31,104.37,94.65,0.47
alzr,2019-08-31,105.9,94.65,0.48
alzr,2019-09-30,105.81,94.62,0.47
alzr,2019-10-31,111.78,96.74,0.55
alzr,2019-11-30,119.98,94.65,0.56
alzr,2019-12-31,144.65,94.65,0.57
alzr,2020-01-31,127.5,94.65,0.59
alzr,2020-02-29,122.9,94.66,0.59
alzr,2020-03-31,100.85,94.65,0.59
alzr,2020-04-30,108.27,94.65,0.59
alzr,2020-05-31,116.5,94.65,0.59
bpff,2016-07-31,83.2,85.7,0.67
bpff,2016-08-31,82.49,85.78,0.67
bpff,2016-09-30,79,87.36,0.67
bpff,2016-10-31,87,85.04,0.67
bpff,2016-11-30,85.3,86.11,0.8
bpff,2016-12-31,80.5,88.44,0.67
bpff,2017-01-31,89,93.33,0.67
bpff,2017-02-28,94,92.65,0.67
bpff,2017-03-31,91.2,92.53,0.67
bpff,2017-04-30,91,94.28,0.67
bpff,2017-05-31,90.86,93.79,0.67
bpff,2017-06-30,92.85,92,0.67
bpff,2017-07-31,93.5,92.34,0.67
bpff,2017-08-31,94,96.11,0.67
bpff,2017-09-30,96.5,96.16,0.67
bpff,2017-10-31,98,95.67,0.67
bpff,2017-11-30,97.7,96.45,0.72
bpff,2017-12-31,97.7,96.45,0.72
bpff,2018-01-31,101.15,98.06,0.67
bpff,2018-02-28,106.69,97.94,0.67
bpff,2018-03-31,106,99.16,0.67
bpff,2018-04-30,106.5,98.59,0.67
bpff,2018-05-31,99.99,92.68,0.67
bpff,2018-06-30,95.99,88.01,0.67
bpff,2018-07-31,92.6,88.94,0.67
bpff,2018-08-31,92.7,88.94,0.67
bpff,2018-09-30,86,87.49,0.6
bpff,2018-10-31,91.9,87.45,0.6
bpff,2018-11-30,90.04,90.85,0.6
bpff,2018-12-31,90,92.3,0.6
bpff,2019-01-31,96.68,93.68,0.6
bpff,2019-02-28,94.98,96.17,0.6
bpff,2019-03-31,90.24,94.44,0.6
bpff,2019-04-30,93.45,93.45,0.65
bpff,2019-05-31,93.15,93.15,0.75
bpff,2019-06-30,94.55,94.99,0.75
bpff,2019-07-31,105.4,98,0.7
bpff,2019-08-31,104.95,96.79,0.65
bpff,2019-09-30,104.99,97.25,0.65
bpff,2019-10-31,108.7,100.49,0.65
bpff,2019-11-30,111.4,102.67,0.85
bpff,2019-12-31,126.8,111.91,1.5
bpff,2020-01-31,122.47,106.49,0.75
bpff,2020-02-29,116,102.01,0.75
bpff,2020-03-31,94.2,88.35,0.5
bpff,2020-04-30,90.85,89.66,0.65
bpff,2020-05-31,95.72,89.66,0.5
